"","Year","Value"
"2","1900",0.872
"3","1901",0.331
"4","1902",1.385
"5","1903",0.633
"6","1904",0.761
"7","1905",0.315
"8","1906",0.322
"9","1907",0.383
"10","1908",2.452
"11","1909",0.874
"12","1910",0.27
"13","1911",0.575
"14","1912",0.547
"15","1913",0.715
"16","1914",0.092
"17","1915",0.893
"18","1916",0.814
"19","1917",0.012
"20","1918",0.614
"21","1919",0.298
"22","1920",0.38
"23","1921",0.192
"24","1922",0.723
"25","1923",1.537
"26","1924",0.408
"27","1925",0.451
"28","1926",1.203
"29","1927",1.159
"30","1928",0.778
"31","1929",0.845
"32","1930",0.761
"33","1931",0.816
"34","1932",0.711
"35","1933",0.819
"36","1934",0.379
"37","1935",0.67
"38","1936",0.383
"39","1937",0.248
"40","1938",1.151
"41","1939",0.219
"42","1940",0.648
"43","1941",1.449
"44","1942",0.75
"45","1943",1.517
"46","1944",0.79
"47","1945",1.778
"48","1946",0.878
"49","1947",0.166
"50","1948",0.936
"51","1949",0.424
"52","1950",1.189
"53","1951",0.371
"54","1952",0.146
"55","1953",0.891
"56","1954",0.56
"57","1955",0.391
"58","1956",0.054
"59","1957",1.789
"60","1958",0.245
"61","1959",1.157
"62","1960",0.499
"63","1961",1.247
"64","1962",0.517
"65","1963",0.378
"66","1964",0.674
"67","1965",0.177
"68","1966",0.457
"69","1967",0.701
"70","1968",0.63
"71","1969",0.959
"72","1970",1.121
"73","1971",0.568
"74","1972",0.509
"75","1973",0.754
"76","1974",1.46
"77","1975",0.869
"78","1976",0.414
"79","1977",0.817
"80","1978",0.15
"81","1979",1.339
"82","1980",0.796
"83","1981",0.531
"84","1982",0.928
"85","1983",0.715
"86","1984",0.434
"87","1985",1.635
"88","1986",1.788
"89","1987",0.728
"90","1988",0.977
"91","1989",1.454
"92","1990",1.63
"93","1991",0.963
"94","1992",0.493
"95","1993",1.465
"96","1994",0.709
"97","1995",1.179
"98","1996",1.216
"99","1997",0.724
"100","1998",2.042
"101","1999",1.359
"102","2000",1.286
"103","2001",1.439
"104","2002",0.68
"105","2003",0.545
"106","2004",0.757
"107","2005",0.881
"108","2006",0.797
"109","2007",1.482
"110","2008",1.551
"111","2009",1.14
"112","2010",1.42
"113","2011",0.547
"114","2012",0.886
"115","2013",0.58
"116","2014",0.209
"117","2015",3.302
"118","2016",0.526
"119","2017",0.619
"120","2018",1.223
